date,predicted,actual,error,error_pct,abs_error_pct
2026-04-15,339049,314523,-24526,-7.8,7.8
2026-04-16,340180,315247,-24933,-7.91,7.91
2026-04-17,341312,314891,-26421,-8.39,8.39
2026-04-18,342443,316134,-26309,-8.32,8.32
2026-04-19,343575,317458,-26117,-8.23,8.23
2026-04-20,344706,316823,-27883,-8.8,8.8
2026-04-21,345837,318291,-27546,-8.65,8.65
2026-04-22,346969,319647,-27322,-8.55,8.55
2026-04-23,348100,318934,-29166,-9.14,9.14
2026-04-24,349231,320512,-28719,-8.96,8.96
2026-04-25,350363,321783,-28580,-8.88,8.88
2026-04-26,351494,323241,-28253,-8.74,8.74
2026-04-27,352625,325000,-27625,-8.5,8.5
